Importing plotly failed. Interactive plots will not work.
[PIPE] Frecuencia efectiva para el modelado: MS

[DEBUG-ZEROS] ---- Diagnóstico por combinación (post-resample) ----
  • 7.50E+12 | default | DISTRIBUIDORES -> n=39, %ceros=100.00%, pasa_filtro=False
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  3.43it/s]100%|██████████| 2/2 [00:00<00:00,  3.79it/s]100%|██████████| 2/2 [00:00<00:00,  3.73it/s]
[I 2025-09-23 18:22:24,011] Trial 0 finished with value: 12.913818985969009 and parameters: {'changepoint_prior_scale': 0.008669583144584114, 'seasonality_prior_scale': 0.014497679251578749, 'n_changepoints': 39}. Best is trial 0 with value: 12.913818985969009.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  4.43it/s]100%|██████████| 2/2 [00:00<00:00,  4.18it/s]100%|██████████| 2/2 [00:00<00:00,  4.21it/s]
[I 2025-09-23 18:22:24,857] Trial 1 finished with value: 12.853201769230225 and parameters: {'changepoint_prior_scale': 0.02799898209303726, 'seasonality_prior_scale': 0.011035865420994913, 'n_changepoints': 27}. Best is trial 1 with value: 12.853201769230225.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  2.95it/s]100%|██████████| 2/2 [00:00<00:00,  3.44it/s]100%|██████████| 2/2 [00:00<00:00,  3.36it/s]
[I 2025-09-23 18:22:25,925] Trial 2 finished with value: 11.31644831392659 and parameters: {'changepoint_prior_scale': 0.005052580561650201, 'seasonality_prior_scale': 0.05190746875605502, 'n_changepoints': 24}. Best is trial 2 with value: 11.31644831392659.
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  3.01it/s]100%|██████████| 2/2 [00:00<00:00,  3.49it/s]100%|██████████| 2/2 [00:00<00:00,  3.41it/s]
[PIPE] Rendimiento CREMA ACIDA SELECTA 426 ML-default-GOBIERNO:
  horizon         mse       rmse  ...     mdape     smape  coverage
0 24 days  678.147073  26.041257  ...  3.396095  2.000000       0.0
1 27 days  221.786713  14.892505  ...  4.994133  1.428092       0.0
2 55 days  298.295276  17.271227  ...  2.133831  1.032375       0.0
3 58 days    8.605228   2.933467  ...  0.160141  0.148269       1.0
4 84 days   89.234646   9.446409  ...  0.280692  0.326517       0.0

[5 rows x 8 columns]
          ds       yhat  yhat_lower  yhat_upper       y     cutoff
0 2024-01-01 -18.373257  -27.056168   -9.588177   7.668 2023-12-08
1 2024-02-01  25.365227   16.137459   34.966929   8.094 2023-12-08
2 2024-03-01  24.207591   15.925395   33.032224  33.654 2023-12-08
3 2024-04-01  19.748652   11.336980   28.267564  15.762 2023-12-08
4 2024-05-01  18.554369    9.910651   28.082417   8.094 2023-12-08
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/data_cleaning_V2.py:69: FutureWarning: Series.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  df_merge['Cantidad'] = df_merge['Cantidad'].fillna(method='ffill')
[I 2025-09-23 18:22:26,864] A new study created in memory with name: no-name-4ef291a1-5977-44af-87e5-9db9a5e11ac5
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  2.75it/s]100%|██████████| 2/2 [00:01<00:00,  1.06it/s]100%|██████████| 2/2 [00:01<00:00,  1.17it/s]
[I 2025-09-23 18:22:28,975] Trial 0 finished with value: 951.5072066875141 and parameters: {'changepoint_prior_scale': 0.0011598995188570847, 'seasonality_prior_scale': 2.0470503501783823, 'n_changepoints': 37}. Best is trial 0 with value: 951.5072066875141.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:12<00:12, 12.51s/it]100%|██████████| 2/2 [00:22<00:00, 11.03s/it]100%|██████████| 2/2 [00:22<00:00, 11.25s/it]
[I 2025-09-23 18:22:51,873] Trial 1 finished with value: 1800.3627430635088 and parameters: {'changepoint_prior_scale': 0.02100993719895917, 'seasonality_prior_scale': 6.67533565450279, 'n_changepoints': 15}. Best is trial 0 with value: 951.5072066875141.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:04<00:04,  4.93s/it]100%|██████████| 2/2 [00:25<00:00, 14.24s/it]100%|██████████| 2/2 [00:25<00:00, 12.85s/it]
[I 2025-09-23 18:23:17,949] Trial 2 finished with value: 594.7922666618708 and parameters: {'changepoint_prior_scale': 0.05251056752971784, 'seasonality_prior_scale': 1.5080857503078036, 'n_changepoints': 10}. Best is trial 2 with value: 594.7922666618708.
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:04<00:04,  4.81s/it]100%|██████████| 2/2 [00:25<00:00, 14.32s/it]100%|██████████| 2/2 [00:25<00:00, 12.89s/it]
[PIPE] Rendimiento CREMA ACIDA SELECTA 426 ML-default-MAYOREO:
  horizon           mse         rmse  ...     mdape     smape  coverage
0 24 days  5.016978e+06  2239.861216  ...  3.171224  1.226489       0.0
1 27 days  3.298132e+05   574.293671  ...  0.588436  0.454665       0.0
2 55 days  1.310691e+04   114.485419  ...  0.177039  0.162642       0.0
3 58 days  7.410545e+04   272.223166  ...  0.259133  0.229409       0.0
4 84 days  5.637715e+04   237.438722  ...  0.362398  0.306805       0.0

[5 rows x 8 columns]
          ds         yhat   yhat_lower   yhat_upper         y     cutoff
0 2024-01-01  2946.169216  2946.169200  2946.169232   706.308 2023-12-08
1 2024-02-01   761.153419   761.153361   761.153473   646.668 2023-12-08
2 2024-03-01   892.626722   892.626600   892.626823   655.188 2023-12-08
3 2024-04-01  1055.770192  1055.769996  1055.770361   515.034 2023-12-08
4 2024-05-01  1410.219657  1410.219366  1410.219902  1114.842 2023-12-08
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/data_cleaning_V2.py:69: FutureWarning: Series.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  df_merge['Cantidad'] = df_merge['Cantidad'].fillna(method='ffill')
[I 2025-09-23 18:23:44,165] A new study created in memory with name: no-name-c902c3d5-c2e4-4aa7-bcbb-4ce6526496cd
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  3.46it/s]100%|██████████| 2/2 [00:00<00:00,  3.84it/s]100%|██████████| 2/2 [00:00<00:00,  3.78it/s]
[I 2025-09-23 18:23:45,004] Trial 0 finished with value: 68.36845149896253 and parameters: {'changepoint_prior_scale': 0.011413367690466563, 'seasonality_prior_scale': 0.08906929679915543, 'n_changepoints': 47}. Best is trial 0 with value: 68.36845149896253.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  5.38it/s]100%|██████████| 2/2 [00:00<00:00,  5.35it/s]100%|██████████| 2/2 [00:00<00:00,  5.35it/s]
[I 2025-09-23 18:23:45,632] Trial 1 finished with value: 50.83617183739484 and parameters: {'changepoint_prior_scale': 0.031823778104752315, 'seasonality_prior_scale': 0.026177781667890664, 'n_changepoints': 8}. Best is trial 1 with value: 50.83617183739484.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:02<00:02,  2.87s/it]100%|██████████| 2/2 [00:03<00:00,  1.31s/it]100%|██████████| 2/2 [00:03<00:00,  1.55s/it]
[I 2025-09-23 18:23:49,027] Trial 2 finished with value: 228.74390121219975 and parameters: {'changepoint_prior_scale': 0.007818828052738888, 'seasonality_prior_scale': 2.1322971474362977, 'n_changepoints': 25}. Best is trial 1 with value: 50.83617183739484.
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  4.65it/s]100%|██████████| 2/2 [00:00<00:00,  4.67it/s]100%|██████████| 2/2 [00:00<00:00,  4.67it/s]
[PIPE] Rendimiento CREMA ACIDA SELECTA 426 ML-default-PROXIMIDAD:
  horizon           mse        rmse  ...     mdape     smape  coverage
0 24 days  22485.536363  149.951780  ...  2.378375  2.000000       0.0
1 27 days   2071.915781   45.518302  ...  0.536937  0.423296       1.0
2 55 days    236.831910   15.389344  ...  0.135300  0.126727       1.0
3 58 days    914.854575   30.246563  ...  0.268944  0.237066       1.0
4 84 days   1326.904822   36.426705  ...  0.425416  0.350799       1.0

[5 rows x 8 columns]
          ds        yhat  yhat_lower  yhat_upper        y     cutoff
0 2024-01-01  -86.903780 -156.619565  -17.731960   63.048 2023-12-08
1 2024-02-01  129.131344   56.404049  205.832633  113.742 2023-12-08
2 2024-03-01  122.052705   48.359513  197.676030   85.626 2023-12-08
3 2024-04-01  150.264966   77.712030  219.647748   71.142 2023-12-08
4 2024-05-01  116.883409   47.859582  186.994944  108.204 2023-12-08
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/data_cleaning_V2.py:69: FutureWarning: Series.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  df_merge['Cantidad'] = df_merge['Cantidad'].fillna(method='ffill')
[I 2025-09-23 18:23:49,958] A new study created in memory with name: no-name-a694c8b9-6114-4f1a-8232-71bc0833441f
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  4.73it/s]100%|██████████| 2/2 [00:00<00:00,  4.65it/s]100%|██████████| 2/2 [00:00<00:00,  4.66it/s]
[I 2025-09-23 18:23:50,747] Trial 0 finished with value: 7449.396289577362 and parameters: {'changepoint_prior_scale': 0.009190487059133924, 'seasonality_prior_scale': 0.2930961979461934, 'n_changepoints': 40}. Best is trial 0 with value: 7449.396289577362.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:17<00:17, 17.34s/it]100%|██████████| 2/2 [00:17<00:00,  7.26s/it]100%|██████████| 2/2 [00:17<00:00,  8.77s/it]
[I 2025-09-23 18:24:08,537] Trial 1 finished with value: 28200.938589259822 and parameters: {'changepoint_prior_scale': 0.03809112692363202, 'seasonality_prior_scale': 1.9985628865265452, 'n_changepoints': 8}. Best is trial 0 with value: 7449.396289577362.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  4.97it/s]100%|██████████| 2/2 [00:00<00:00,  4.12it/s]100%|██████████| 2/2 [00:00<00:00,  4.22it/s]
[I 2025-09-23 18:24:09,471] Trial 2 finished with value: 9913.74200724718 and parameters: {'changepoint_prior_scale': 0.01211027045802123, 'seasonality_prior_scale': 0.014624332296392272, 'n_changepoints': 28}. Best is trial 0 with value: 7449.396289577362.
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  4.73it/s]100%|██████████| 2/2 [00:00<00:00,  4.66it/s]100%|██████████| 2/2 [00:00<00:00,  4.67it/s]
[PIPE] Rendimiento CREMA CRUDA GRANEL 40-default-B2B:
  horizon           mse          rmse  ...     mdape     smape  coverage
0 24 days  3.978744e+08  19946.789178  ...  1.225459  2.000000       0.0
1 27 days  4.048400e+07   6362.703520  ...  0.354152  0.430359       0.0
2 55 days  1.039517e+07   3224.154407  ...  0.303993  0.263884       1.0
3 58 days  1.749373e+07   4182.550992  ...  0.211251  0.191069       1.0
4 84 days  3.753402e+08  19373.697870  ...  1.311959  2.000000       0.0

[5 rows x 7 columns]
          ds          yhat   yhat_lower    yhat_upper        y     cutoff
0 2024-01-01  -3669.789178 -8985.255641   1731.077625  16277.0 2023-12-08
1 2024-02-01  13830.154407  8780.887725  19144.572262  10606.0 2023-12-08
2 2024-03-01  -4606.697870 -9946.712375    327.437882  14767.0 2023-12-08
3 2024-04-01   6759.971331  1519.574735  11982.801335  18584.0 2023-12-08
4 2024-05-01   1959.740059 -3292.663631   7431.334737  13000.0 2023-12-08
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/data_cleaning_V2.py:69: FutureWarning: Series.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  df_merge['Cantidad'] = df_merge['Cantidad'].fillna(method='ffill')
[I 2025-09-23 18:24:10,298] A new study created in memory with name: no-name-32b48665-a937-4df3-affc-9e39279b49f3
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:02<00:02,  2.53s/it]100%|██████████| 2/2 [00:02<00:00,  1.25s/it]100%|██████████| 2/2 [00:02<00:00,  1.44s/it]
[I 2025-09-23 18:24:13,777] Trial 0 finished with value: 876.2124311041182 and parameters: {'changepoint_prior_scale': 0.08464406512855263, 'seasonality_prior_scale': 9.755230139447779, 'n_changepoints': 25}. Best is trial 0 with value: 876.2124311041182.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:06<00:06,  6.98s/it]100%|██████████| 2/2 [00:07<00:00,  3.05s/it]100%|██████████| 2/2 [00:07<00:00,  3.64s/it]
[I 2025-09-23 18:24:21,542] Trial 1 finished with value: 610.7522022067467 and parameters: {'changepoint_prior_scale': 0.08368425060311102, 'seasonality_prior_scale': 3.432073768589859, 'n_changepoints': 41}. Best is trial 1 with value: 610.7522022067467.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  3.90it/s]100%|██████████| 2/2 [00:00<00:00,  3.27it/s]100%|██████████| 2/2 [00:00<00:00,  3.35it/s]
[I 2025-09-23 18:24:22,548] Trial 2 finished with value: 142.7366399561577 and parameters: {'changepoint_prior_scale': 0.12850324834212562, 'seasonality_prior_scale': 0.1678941509585085, 'n_changepoints': 31}. Best is trial 2 with value: 142.7366399561577.
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:00<00:00,  3.72it/s]100%|██████████| 2/2 [00:00<00:00,  3.27it/s]100%|██████████| 2/2 [00:00<00:00,  3.33it/s]
[PIPE] Rendimiento CREMA DESLACTOSADA 200ML-default-DISTRIBUIDORES:
  horizon           mse        rmse         mae  mdape  smape  coverage
0 24 days  45263.744435  212.752778  212.752778    inf    2.0       0.0
1 27 days  22044.623449  148.474319  148.474319    inf    2.0       0.0
2 55 days  15297.708200  123.683904  123.683904    inf    2.0       0.0
3 58 days  21618.779425  147.033260  147.033260    inf    2.0       0.0
4 84 days   8769.488502   93.645547   93.645547    inf    2.0       0.0
          ds        yhat  yhat_lower  yhat_upper    y     cutoff
0 2024-01-01 -212.752778 -291.692230 -131.380496  0.0 2023-12-08
1 2024-02-01 -123.683904 -217.907808  -40.515351  0.0 2023-12-08
2 2024-03-01  -93.645547 -174.252466   -8.079448  0.0 2023-12-08
3 2024-04-01 -139.857260 -228.470134  -52.619915  0.0 2023-12-08
4 2024-05-01 -175.220905 -258.188715  -84.408734  0.0 2023-12-08
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/data_cleaning_V2.py:69: FutureWarning: Series.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  df_merge['Cantidad'] = df_merge['Cantidad'].fillna(method='ffill')
[I 2025-09-23 18:24:23,631] A new study created in memory with name: no-name-a8d8262c-4c8d-4f7e-be47-e2d1564d7ee5
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  cps = trial.suggest_loguniform("changepoint_prior_scale", 0.001, 0.5)
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:160: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  sps = trial.suggest_loguniform("seasonality_prior_scale", 0.01, 10.0)
  0%|          | 0/2 [00:00<?, ?it/s] 50%|█████     | 1/2 [00:01<00:01,  1.08s/it]100%|██████████| 2/2 [00:01<00:00,  1.68it/s]100%|██████████| 2/2 [00:01<00:00,  1.50it/s]
[I 2025-09-23 18:24:25,308] Trial 0 finished with value: 10954.817111656903 and parameters: {'changepoint_prior_scale': 0.010246092919382261, 'seasonality_prior_scale': 3.7055036456386525, 'n_changepoints': 38}. Best is trial 0 with value: 10954.817111656903.
/Users/santiago/mongo-db/data/OptiSmart/OptiSmart-Backend-/modulo_demanda/Algoritmo_Prophet/forecast_model_V2.py:159: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
